,p,alpha,Qvar,ILvar
482,0.1,2.68,4.355969038517118e-19,5.8621987472108e-14
483,0.1,2.68,3.132034253990645e-17,3.270111351723644e-11
484,0.1,2.68,1.0711025674453611e-17,1.621344220389634e-11
485,0.1,2.68,1.1332548840996872e-17,9.442042083864974e-12
486,0.1,2.68,1.4517748664032415e-19,2.5673230099653713e-13
487,0.1,2.68,1.3946040362272657e-19,2.344973447644893e-14
488,0.1,2.68,1.3980879539231444e-19,3.453157254048273e-14
489,0.1,2.68,2.2648180860523225e-19,3.7213142606322154e-14
490,0.1,2.68,1.3299557104407442e-18,2.601253255932419e-13
491,0.1,2.68,1.0087359675574784e-16,2.2756466650074813e-12
492,0.1,2.68,1.5814737197686809e-19,5.6487428648626576e-14
493,0.1,2.68,1.005383577357109e-19,1.0351939398626821e-14
494,0.1,2.68,1.585240740277398e-18,2.0376896366913519e-13
495,0.1,2.68,8.235636927860546e-19,1.0731822244736644e-13
496,0.1,2.68,6.092811081364664e-17,2.4326906085677136e-12
497,0.1,2.68,5.280553970103031e-19,1.0420552282454744e-12
498,0.1,2.68,2.2744167263808824e-19,4.584723403216259e-14
499,0.1,2.68,1.4006308435370646e-19,3.755688519238137e-14
500,0.1,2.68,1.5812558740635445e-19,1.7242490714856545e-13
501,0.1,2.68,5.795608929584925e-19,1.0760777793578175e-13
502,0.1,2.68,9.479931043088962e-18,5.2371901343127955e-12
503,0.1,2.68,6.844068119642734e-19,9.729521225396133e-14
504,0.1,2.68,3.2776234498060033e-19,5.0593424964235247e-14
505,0.1,2.68,3.7486363974600464e-19,3.2165639287991157e-13
506,0.1,2.68,1.7657476392226797e-18,5.722481399946467e-14
507,0.1,2.68,3.512550383778311e-19,4.6721310303834876e-14
508,0.1,2.68,5.966824941419505e-19,7.504608567631336e-14
509,0.1,2.68,5.762010322299478e-20,2.4531452627165723e-14
510,0.1,2.78,6.342666971267058e-19,3.737134700730622e-13
511,0.1,2.78,7.022619426817434e-18,3.95581271925291e-13
512,0.1,2.78,1.3624322106230094e-19,4.8797065146966695e-14
513,0.1,2.78,3.608246540786575e-18,8.345981750372932e-12
514,0.1,2.78,1.482489749112977e-19,5.134992156799895e-14
515,0.1,2.78,3.561531768917239e-19,6.715879663615344e-14
516,0.1,2.78,2.8423812301180827e-19,4.520685856928742e-14
517,0.1,2.78,3.094333681545155e-19,3.6058907699250346e-13
518,0.1,2.78,2.5005717619796826e-17,1.4453539160718298e-12
519,0.1,2.78,8.776177135447655e-19,8.186749525980084e-13
520,0.1,2.78,1.0572775663267295e-19,1.9111167529847683e-13
521,0.1,2.78,1.8894566083844447e-19,2.570432451443586e-14
522,0.1,2.78,3.205126105347172e-19,4.413695909344523e-14
523,0.1,2.78,2.0028561565590167e-19,3.1828615279114335e-14
524,0.1,2.78,1.8699582104972687e-18,1.6711469202818467e-13
525,0.1,2.78,4.846190015606527e-19,5.922202461632847e-13
526,0.1,2.78,7.51254399110166e-19,1.2005615666325358e-13
527,0.1,2.78,2.8204208833170765e-19,2.9346516264492823e-14
528,0.1,2.78,2.3052970782650826e-19,4.7731249090087194e-14
529,0.1,2.78,2.760458531363619e-19,9.386884757731337e-14
530,0.1,2.78,2.50532459198033e-19,4.991067836734295e-14
531,0.1,2.78,1.5778840205330813e-19,2.1040020931556014e-14
532,0.1,2.78,6.7649030583822e-19,7.73971124657063e-13
533,0.1,2.78,4.389549099267706e-19,6.765552409003479e-14
534,0.1,2.78,4.528565358453526e-19,7.263343026888936e-14
535,0.1,2.78,6.3911560480751105e-19,1.7189390689696633e-12
536,0.1,2.78,3.7763901106386144e-19,6.754568154278959e-14
537,0.1,2.78,5.510468257929217e-19,3.9986372996975217e-13
538,0.1,2.78,4.0435075513374934e-19,5.811635946788203e-14
539,0.1,2.78,3.188343640790371e-19,5.1403828408216686e-14
540,0.1,2.89,3.555582370950933e-19,4.8871879621945776e-14
